author,article
"Morgan Magnin","Tuning Temporal Features within the Stochastic π-Calculus"
"Olivier Roux","Tuning Temporal Features within the Stochastic π-Calculus"
"Giulio Concas","On the Distribution of Bugs in the Eclipse System"
"Michele Marchesi","On the Distribution of Bugs in the Eclipse System"
"Alessandro Murgia","On the Distribution of Bugs in the Eclipse System"
"Roberto Tonelli","On the Distribution of Bugs in the Eclipse System"
"Ivana Turnu","On the Distribution of Bugs in the Eclipse System"
"Ivica Crnkovic","A Classification Framework for Software Component Models"
"Severine Sentilles","A Classification Framework for Software Component Models"
"A. Vulgarakis","A Classification Framework for Software Component Models"
"Michel R.V. Chaudron","A Classification Framework for Software Component Models"
"Xin Feng","A Comparison of Tabular Expression-Based Testing Strategies"
"David Lorge Parnas","A Comparison of Tabular Expression-Based Testing Strategies"
"T.H. Tse","A Comparison of Tabular Expression-Based Testing Strategies"
"Tony O'Callaghan","A Comparison of Tabular Expression-Based Testing Strategies"
"Tak Wah Kwan","A Risk Management Methodology for Project Risk Dependencies"
"Hareton K.N. Leung","A Risk Management Methodology for Project Risk Dependencies"
"Yue Jia","An Analysis and Survey of the Development of Mutation Testing"
"Mark Harman","An Analysis and Survey of the Development of Mutation Testing"
"Haibo Chen","Dynamic Software Updating Using a Relaxed Consistency Model"
"Jie Yu","Dynamic Software Updating Using a Relaxed Consistency Model"
"Chengqun Hang","Dynamic Software Updating Using a Relaxed Consistency Model"
"Binyu Zang","Dynamic Software Updating Using a Relaxed Consistency Model"
"Pen-Chung Yew","Dynamic Software Updating Using a Relaxed Consistency Model"
"Magne Jorgensen","The Impact of Irrelevant and Misleading Information on Software Development Effort Estimates: A Randomized Controlled Field Experiment"
"Stein Grimstad","The Impact of Irrelevant and Misleading Information on Software Development Effort Estimates: A Randomized Controlled Field Experiment"
"Peter Bishop","Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems"
"Robin Bloomfield","Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems"
"Bev Littlewood","Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems"
"Andrey Povyakalo","Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems"
"David Wright","Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems"
"Diwakar Krishnamurthy","WAM—The Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions"
"Jerry Rolia","WAM—The Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions"
"Min Xu","WAM—The Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions"
"Mikhail Perepletchikov","A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software"
"Caspar Ryan","A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software"
"Mingsheng Ying","A Flowchart Language for Quantum Programming"
"Yuan Feng","A Flowchart Language for Quantum Programming"
"Leonardo Mariani","Dynamic Analysis for Diagnosing Integration Faults"
"Fabrizio Pastore","Dynamic Analysis for Diagnosing Integration Faults"
"Mauro Pezze","Dynamic Analysis for Diagnosing Integration Faults"
"Norsaremah Salleh","Empirical Studies of Pair Programming for CS/SE Teaching in Higher Education: A Systematic Literature Review"
