author,article
"Emilia Mendes","Empirical Studies of Pair Programming for CS/SE Teaching in Higher Education: A Systematic Literature Review"
"John Grundy","Empirical Studies of Pair Programming for CS/SE Teaching in Higher Education: A Systematic Literature Review"
"Alexandre Bergel","FlowTalk: Language Support for Long-Latency Operations in Embedded Devices"
"William Harrison","FlowTalk: Language Support for Long-Latency Operations in Embedded Devices"
"Vinny Cahill","FlowTalk: Language Support for Long-Latency Operations in Embedded Devices"
"Siobhan Clarke","FlowTalk: Language Support for Long-Latency Operations in Embedded Devices"
"Xavier Amatriain","Frameworks Generate Domain-Specific Languages: A Case Study in the Multimedia Domain"
"Pau Arumi","Frameworks Generate Domain-Specific Languages: A Case Study in the Multimedia Domain"
"Xun Yuan","GUI Interaction Testing: Incorporating Event Context"
"Myra B. Cohen","GUI Interaction Testing: Incorporating Event Context"
"Atif M. Memon","GUI Interaction Testing: Incorporating Event Context"
"Laurent Burgy","Zebu: A Language-Based Approach for Network Protocol Message Processing"
"Laurent Reveillere","Zebu: A Language-Based Approach for Network Protocol Message Processing"
"Julia Lawall","Zebu: A Language-Based Approach for Network Protocol Message Processing"
"Gilles Muller","Zebu: A Language-Based Approach for Network Protocol Message Processing"
"Irwin Kwan","Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project"
"Adrian Schroter","Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project"
"Daniela Damian","Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project"
"Cleidson R. B. de Souza","The Awareness Network, To Whom Should I Display My Actions? And, Whose Actions Should I Monitor?"
"David F. Redmiles","The Awareness Network, To Whom Should I Display My Actions? And, Whose Actions Should I Monitor?"
"Bas Cornelissen","A Controlled Experiment for Program Comprehension through Trace Visualization"
"Andy Zaidman","A Controlled Experiment for Program Comprehension through Trace Visualization"
"Arie van Deursen","A Controlled Experiment for Program Comprehension through Trace Visualization"
"Qinbao Song","A General Software Defect-Proneness Prediction Framework"
"Zihan Jia","A General Software Defect-Proneness Prediction Framework"
"Martin Shepperd","A General Software Defect-Proneness Prediction Framework"
"Shi Ying","A General Software Defect-Proneness Prediction Framework"
"Jin Liu","A General Software Defect-Proneness Prediction Framework"
"Pratyusa K. Manadhata","An Attack Surface Metric"
"Jeannette M. Wing","An Attack Surface Metric"
"Radu Calinescu","Dynamic QoS Management and Optimization in Service-Based Systems"
"Lars Grunske","Dynamic QoS Management and Optimization in Service-Based Systems"
"Marta Kwiatkowska","Dynamic QoS Management and Optimization in Service-Based Systems"
"Raffaela Mirandola","Dynamic QoS Management and Optimization in Service-Based Systems"
"Giordano Tamburrelli","Dynamic QoS Management and Optimization in Service-Based Systems"
"Matthias Weidlich","Efficient Consistency Measurement Based on Behavioral Profiles of Process Models"
"Jan Mendling","Efficient Consistency Measurement Based on Behavioral Profiles of Process Models"
"Mathias Weske","Efficient Consistency Measurement Based on Behavioral Profiles of Process Models"
"Dongsun Kim","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"Xinming Wang","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"Sunghun Kim","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"Andreas Zeller","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"S.C. Cheung","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"Sooyong Park","Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts"
"Moonzoo Kim","A Comparative Study of Software Model Checkers as Unit Testing Tools: An Industrial Case Study"
"Yunho Kim","A Comparative Study of Software Model Checkers as Unit Testing Tools: An Industrial Case Study"
"Hotae Kim","A Comparative Study of Software Model Checkers as Unit Testing Tools: An Industrial Case Study"
"Samar Mouchawrab","Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments"
"Lionel C. Briand","Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments"
"Yvan Labiche","Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments"
"Massimiliano Di Penta","Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments"
"Alexander Egyed","Automatically Detecting and Tracking Inconsistencies in Software Design Models"
"Andrea De Lucia","Improving Source Code Lexicon via Traceability and Information Retrieval"
"Massimiliano Di Penta","Improving Source Code Lexicon via Traceability and Information Retrieval"
"Rocco Oliveto","Improving Source Code Lexicon via Traceability and Information Retrieval"
"Luciano Baresi","Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens"
"Carlo Ghezzi","Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens"
"Luca Mottola","Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens"
"Luciano Baresi","Self-Supervising BPEL Processes"
"Sam Guinea","Self-Supervising BPEL Processes"
"Kata Praditwong","Software Module Clustering as a Multi-Objective Search Problem"
"Mark Harman","Software Module Clustering as a Multi-Objective Search Problem"
"Xin Yao","Software Module Clustering as a Multi-Objective Search Problem"
"Oscar Dieste","Systematic review and aggregation of empirical studies on elicitation techniques"
"Natalia Juristo","Systematic review and aggregation of empirical studies on elicitation techniques"
"Brian Demsky","Bristlecone: Language Support for Robust Software Applications"
"Sivaji Sundaramurthy","Bristlecone: Language Support for Robust Software Applications"
"Martin P. Ward","Deriving a Slicing Algorithm via FermaT Transformations"
"Hussein Zedan","Deriving a Slicing Algorithm via FermaT Transformations"
"Renee C. Bryce","Developing a Single Model and Test Prioritization Strategies for Event-Driven Software"
"Sreedevi Sampath","Developing a Single Model and Test Prioritization Strategies for Event-Driven Software"
"Atif M. Memon","Developing a Single Model and Test Prioritization Strategies for Event-Driven Software"
"Salvatore Distefano","From UML to Petri Nets: The PCM-Based Methodology"
"Marco Scarpa","From UML to Petri Nets: The PCM-Based Methodology"
"Antonio Puliafito","From UML to Petri Nets: The PCM-Based Methodology"
"James H. Andrews","Genetic Algorithms for Randomized Unit Testing"
"Tim Menzies","Genetic Algorithms for Randomized Unit Testing"
"Felix C.H. Li","Genetic Algorithms for Randomized Unit Testing"
"Lutz Prechelt","Plat_Forms: A Web Development Platform Comparison by an Exploratory Experiment Searching for Emergent Platform Properties"
"T.Y. Chen","Semi-Proving: An Integrated Method for Program Proving, Testing, and Debugging"
"T.H. Tse","Semi-Proving: An Integrated Method for Program Proving, Testing, and Debugging"
"Zhi Quan Zhou","Semi-Proving: An Integrated Method for Program Proving, Testing, and Debugging"
"YoungMin Kwon","Verifying the Evolution of Probability Distributions Governed by a DTMC"
"Gul Agha","Verifying the Evolution of Probability Distributions Governed by a DTMC"
"Max Schäfer","A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs"
"Andreas Thies","A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs"
"Friedrich Steimann","A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs"
"Frank Tip","A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs"
"Hong Mei","A Static Approach to Prioritizing JUnit Test Cases"
"Dan Hao","A Static Approach to Prioritizing JUnit Test Cases"
"Lingming Zhang","A Static Approach to Prioritizing JUnit Test Cases"
"Lu Zhang","A Static Approach to Prioritizing JUnit Test Cases"
"Ji Zhou","A Static Approach to Prioritizing JUnit Test Cases"
"Gregg Rothermel","A Static Approach to Prioritizing JUnit Test Cases"
"Tracy Hall","A Systematic Literature Review on Fault Prediction Performance in Software Engineering"
"Sarah Beecham","A Systematic Literature Review on Fault Prediction Performance in Software Engineering"
"David Bowes","A Systematic Literature Review on Fault Prediction Performance in Software Engineering"
"David Gray","A Systematic Literature Review on Fault Prediction Performance in Software Engineering"
"Steve Counsell","A Systematic Literature Review on Fault Prediction Performance in Software Engineering"
"Luis Búrdalo","Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems"
"Andrés Terrasa","Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems"
"Agustín Espinosa","Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems"
"Ana García-Fornes","Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems"
"Franz Brosch","Architecture-Based Reliability Prediction with the Palladio Component Model"
"Heiko Koziolek","Architecture-Based Reliability Prediction with the Palladio Component Model"
"Barbora Buhnova","Architecture-Based Reliability Prediction with the Palladio Component Model"
"Ralf Reussner","Architecture-Based Reliability Prediction with the Palladio Component Model"
"Christopher M. Hayden","Evaluating Dynamic Software Update Safety Using Systematic Testing"
"Edward K. Smith","Evaluating Dynamic Software Update Safety Using Systematic Testing"
"Eric A. Hardisty","Evaluating Dynamic Software Update Safety Using Systematic Testing"
"Michael Hicks","Evaluating Dynamic Software Update Safety Using Systematic Testing"
"Jeffrey S. Foster","Evaluating Dynamic Software Update Safety Using Systematic Testing"
"Shiva Nejati","Matching and Merging of Variant Feature Specifications"
"Mehrdad Sabetzadeh","Matching and Merging of Variant Feature Specifications"
"Marsha Chechik","Matching and Merging of Variant Feature Specifications"
"Steve Easterbrook","Matching and Merging of Variant Feature Specifications"
"Pamela Zave","Matching and Merging of Variant Feature Specifications"
"N. Ilker Altintas","Modeling Product Line Software Assets Using Domain-Specific Kits"
"Semih Cetin","Modeling Product Line Software Assets Using Domain-Specific Kits"
"Ali H. Dogru","Modeling Product Line Software Assets Using Domain-Specific Kits"
"Halit Oguztuzun","Modeling Product Line Software Assets Using Domain-Specific Kits"
"Ekrem Kocaguneli","On the Value of Ensemble Effort Estimation"
"Tim Menzies","On the Value of Ensemble Effort Estimation"
"Jacky W. Keung","On the Value of Ensemble Effort Estimation"
"Emerson Murphy-Hill","Programmer-Friendly Refactoring Errors"
"Andrew P. Black","Programmer-Friendly Refactoring Errors"
"Markus Michael Geipel","The Link between Dependency and Cochange: Empirical Evidence"
"Frank Schweitzer","The Link between Dependency and Cochange: Empirical Evidence"
"Damien Cassou","Toward a Tool-Based Development Methodology for Pervasive Computing Applications"
"Julien Bruneau","Toward a Tool-Based Development Methodology for Pervasive Computing Applications"
"Charles Consel","Toward a Tool-Based Development Methodology for Pervasive Computing Applications"
